================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
   ✓ Rounds: 1, Final: $90, StoppedRunning conditions:  34%|███▍      | 44/128 [1:34:39<2:04:50, 89.17s/it] Running conditions:  35%|███▌      | 45/128 [1:35:25<1:45:25, 76.21s/it]Running conditions:  36%|███▌      | 46/128 [1:36:24<1:37:08, 71.08s/it]Running conditions:  37%|███▋      | 47/128 [1:37:06<1:24:05, 62.30s/it]Running conditions:  38%|███▊      | 48/128 [1:37:57<1:18:23, 58.79s/it]Running conditions:  38%|███▊      | 49/128 [1:41:57<2:29:04, 113.22s/it]Running conditions:  39%|███▉      | 50/128 [1:44:21<2:39:05, 122.38s/it]Running conditions:  40%|███▉      | 51/128 [1:46:38<2:42:57, 126.98s/it]Running conditions:  41%|████      | 52/128 [1:48:40<2:38:45, 125.33s/it]
    💾 Intermediate results saved (440 experiments)

📊 Experiment 441/1280: MP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 442/1280: MP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 443/1280: MP_fixed_L (Rep 3/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 444/1280: MP_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 445/1280: MP_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 446/1280: MP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 447/1280: MP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 448/1280: MP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 449/1280: MP_fixed_L (Rep 9/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 450/1280: MP_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (450 experiments)

📊 Experiment 451/1280: RW_fixed_L (Rep 1/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 452/1280: RW_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 453/1280: RW_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 454/1280: RW_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 455/1280: RW_fixed_L (Rep 5/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 456/1280: RW_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 457/1280: RW_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 458/1280: RW_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 459/1280: RW_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 460/1280: RW_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (460 experiments)

📊 Experiment 461/1280: RP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 462/1280: RP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 463/1280: RP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 464/1280: RP_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 465/1280: RP_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 466/1280: RP_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 467/1280: RP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 468/1280: RP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 469/1280: RP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 470/1280: RP_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (470 experiments)

📊 Experiment 471/1280: WP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 472/1280: WP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 473/1280: WP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 474/1280: WP_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 475/1280: WP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 476/1280: WP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 477/1280: WP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 478/1280: WP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 479/1280: WP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 480/1280: WP_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $100, Stopped
    💾 Intermediate results saved (480 experiments)

📊 Experiment 481/1280: GMR_fixed_L (Rep 1/10)
   ✓ Rounds: 18, Final: $160, Stopped

📊 Experiment 482/1280: GMR_fixed_L (Rep 2/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 483/1280: GMR_fixed_L (Rep 3/10)
   ✓ Rounds: 13, Final: $30, Stopped

📊 Experiment 484/1280: GMR_fixed_L (Rep 4/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 485/1280: GMR_fixed_L (Rep 5/10)
   ✓ Rounds: 6, Final: $40, Stopped

📊 Experiment 486/1280: GMR_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 487/1280: GMR_fixed_L (Rep 7/10)
   ✓ Rounds: 21, Final: $10, Stopped

📊 Experiment 488/1280: GMR_fixed_L (Rep 8/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 489/1280: GMR_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 490/1280: GMR_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (490 experiments)

📊 Experiment 491/1280: GMW_fixed_L (Rep 1/10)
   ✓ Rounds: 16, Final: $0, Bankrupt

📊 Experiment 492/1280: GMW_fixed_L (Rep 2/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 493/1280: GMW_fixed_L (Rep 3/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 494/1280: GMW_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 495/1280: GMW_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 496/1280: GMW_fixed_L (Rep 6/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 497/1280: GMW_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 498/1280: GMW_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 499/1280: GMW_fixed_L (Rep 9/10)
   ✓ Rounds: 10, Final: $90, Stopped

📊 Experiment 500/1280: GMW_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (500 experiments)

📊 Experiment 501/1280: GMP_fixed_L (Rep 1/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 502/1280: GMP_fixed_L (Rep 2/10)
   ✓ Rounds: 10, Final: $90, Stopped

📊 Experiment 503/1280: GMP_fixed_L (Rep 3/10)
   ✓ Rounds: 4, Final: $120, Stopped

📊 Experiment 504/1280: GMP_fixed_L (Rep 4/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 505/1280: GMP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 506/1280: GMP_fixed_L (Rep 6/10)
   ✓ Rounds: 3, Final: $100, Stopped

📊 Experiment 507/1280: GMP_fixed_L (Rep 7/10)
   ✓ Rounds: 6, Final: $100, Stopped

📊 Experiment 508/1280: GMP_fixed_L (Rep 8/10)
   ✓ Rounds: 3, Final: $100, Stopped

📊 Experiment 509/1280: GMP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 510/1280: GMP_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $70, Stopped
    💾 Intermediate results saved (510 experiments)

📊 Experiment 511/1280: GRW_fixed_L (Rep 1/10)
   ✓ Rounds: 6, Final: $100, Stopped

📊 Experiment 512/1280: GRW_fixed_L (Rep 2/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 513/1280: GRW_fixed_L (Rep 3/10)
   ✓ Rounds: 6, Final: $100, Stopped

📊 Experiment 514/1280: GRW_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 515/1280: GRW_fixed_L (Rep 5/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 516/1280: GRW_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 517/1280: GRW_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 518/1280: GRW_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 519/1280: GRW_fixed_L (Rep 9/10)
   ✓ Rounds: 4, Final: $120, Stopped

📊 Experiment 520/1280: GRW_fixed_L (Rep 10/10)
   ✓ Rounds: 5, Final: $80, Stopped
    💾 Intermediate results saved (520 experiments)

📊 Experiment 521/1280: GRP_fixed_L (Rep 1/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 522/1280: GRP_fixed_L (Rep 2/10)
   ✓ Rounds: 7, Final: $90, Stopped

📊 Experiment 523/1280: GRP_fixed_L (Rep 3/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 524/1280: GRP_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 525/1280: GRP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 526/1280: GRP_fixed_L (Rep 6/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 527/1280: GRP_fixed_L (Rep 7/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 528/1280: GRP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, StoppedRunning conditions:  41%|████▏     | 53/128 [1:50:22<2:27:57, 118.37s/it]Running conditions:  42%|████▏     | 54/128 [1:52:54<2:38:32, 128.54s/it]Running conditions:  43%|████▎     | 55/128 [1:54:58<2:34:31, 127.01s/it]Running conditions:  44%|████▍     | 56/128 [1:55:46<2:04:11, 103.50s/it]Running conditions:  45%|████▍     | 57/128 [1:56:42<1:45:42, 89.33s/it] Running conditions:  45%|████▌     | 58/128 [1:57:41<1:33:32, 80.18s/it]Running conditions:  46%|████▌     | 59/128 [2:01:21<2:20:29, 122.17s/it]Running conditions:  47%|████▋     | 60/128 [2:03:19<2:16:49, 120.72s/it]Running conditions:  48%|████▊     | 61/128 [2:08:42<3:22:44, 181.55s/it]

📊 Experiment 529/1280: GRP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 530/1280: GRP_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $130, Stopped
    💾 Intermediate results saved (530 experiments)

📊 Experiment 531/1280: GWP_fixed_L (Rep 1/10)
   ✓ Rounds: 5, Final: $140, Stopped

📊 Experiment 532/1280: GWP_fixed_L (Rep 2/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 533/1280: GWP_fixed_L (Rep 3/10)
   ✓ Rounds: 8, Final: $80, Stopped

📊 Experiment 534/1280: GWP_fixed_L (Rep 4/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 535/1280: GWP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 536/1280: GWP_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 537/1280: GWP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 538/1280: GWP_fixed_L (Rep 8/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 539/1280: GWP_fixed_L (Rep 9/10)
   ✓ Rounds: 9, Final: $70, Stopped

📊 Experiment 540/1280: GWP_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (540 experiments)

📊 Experiment 541/1280: MRW_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 542/1280: MRW_fixed_L (Rep 2/10)
   ✓ Rounds: 14, Final: $200, Stopped

📊 Experiment 543/1280: MRW_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 544/1280: MRW_fixed_L (Rep 4/10)
   ✓ Rounds: 6, Final: $160, Stopped

📊 Experiment 545/1280: MRW_fixed_L (Rep 5/10)
   ✓ Rounds: 4, Final: $150, Stopped

📊 Experiment 546/1280: MRW_fixed_L (Rep 6/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 547/1280: MRW_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 548/1280: MRW_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 549/1280: MRW_fixed_L (Rep 9/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 550/1280: MRW_fixed_L (Rep 10/10)
   ✓ Rounds: 4, Final: $60, Stopped
    💾 Intermediate results saved (550 experiments)

📊 Experiment 551/1280: MRP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 552/1280: MRP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 553/1280: MRP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 554/1280: MRP_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 555/1280: MRP_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 556/1280: MRP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 557/1280: MRP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 558/1280: MRP_fixed_L (Rep 8/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 559/1280: MRP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 560/1280: MRP_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (560 experiments)

📊 Experiment 561/1280: MWP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 562/1280: MWP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 563/1280: MWP_fixed_L (Rep 3/10)
   ✓ Rounds: 3, Final: $130, Stopped

📊 Experiment 564/1280: MWP_fixed_L (Rep 4/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 565/1280: MWP_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 566/1280: MWP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 567/1280: MWP_fixed_L (Rep 7/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 568/1280: MWP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 569/1280: MWP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 570/1280: MWP_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (570 experiments)

📊 Experiment 571/1280: RWP_fixed_L (Rep 1/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 572/1280: RWP_fixed_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 573/1280: RWP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 574/1280: RWP_fixed_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 575/1280: RWP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 576/1280: RWP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 577/1280: RWP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 578/1280: RWP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 579/1280: RWP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 580/1280: RWP_fixed_L (Rep 10/10)
   ✓ Rounds: 3, Final: $70, Stopped
    💾 Intermediate results saved (580 experiments)

📊 Experiment 581/1280: GMRW_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 582/1280: GMRW_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 583/1280: GMRW_fixed_L (Rep 3/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 584/1280: GMRW_fixed_L (Rep 4/10)
   ✓ Rounds: 10, Final: $30, Stopped

📊 Experiment 585/1280: GMRW_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 586/1280: GMRW_fixed_L (Rep 6/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 587/1280: GMRW_fixed_L (Rep 7/10)
   ✓ Rounds: 8, Final: $50, Stopped

📊 Experiment 588/1280: GMRW_fixed_L (Rep 8/10)
   ✓ Rounds: 8, Final: $110, Stopped

📊 Experiment 589/1280: GMRW_fixed_L (Rep 9/10)
   ✓ Rounds: 14, Final: $80, Stopped

📊 Experiment 590/1280: GMRW_fixed_L (Rep 10/10)
   ✓ Rounds: 7, Final: $90, Stopped
    💾 Intermediate results saved (590 experiments)

📊 Experiment 591/1280: GMRP_fixed_L (Rep 1/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 592/1280: GMRP_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 593/1280: GMRP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 594/1280: GMRP_fixed_L (Rep 4/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 595/1280: GMRP_fixed_L (Rep 5/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 596/1280: GMRP_fixed_L (Rep 6/10)
   ✓ Rounds: 5, Final: $50, Stopped

📊 Experiment 597/1280: GMRP_fixed_L (Rep 7/10)
   ✓ Rounds: 5, Final: $80, Stopped

📊 Experiment 598/1280: GMRP_fixed_L (Rep 8/10)
   ✓ Rounds: 2, Final: $80, Stopped

📊 Experiment 599/1280: GMRP_fixed_L (Rep 9/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 600/1280: GMRP_fixed_L (Rep 10/10)
   ✓ Rounds: 4, Final: $60, Stopped
    💾 Intermediate results saved (600 experiments)

📊 Experiment 601/1280: GMWP_fixed_L (Rep 1/10)
   ✓ Rounds: 6, Final: $100, Stopped

📊 Experiment 602/1280: GMWP_fixed_L (Rep 2/10)
   ✓ Rounds: 12, Final: $40, Stopped

📊 Experiment 603/1280: GMWP_fixed_L (Rep 3/10)
   ✓ Rounds: 5, Final: $50, Stopped

📊 Experiment 604/1280: GMWP_fixed_L (Rep 4/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 605/1280: GMWP_fixed_L (Rep 5/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 606/1280: GMWP_fixed_L (Rep 6/10)
   ✓ Rounds: 9, Final: $70, Stopped

📊 Experiment 607/1280: GMWP_fixed_L (Rep 7/10)
   ✓ Rounds: 7, Final: $30, Stopped

📊 Experiment 608/1280: GMWP_fixed_L (Rep 8/10)
   ✓ Rounds: 5, Final: $140, Stopped

📊 Experiment 609/1280: GMWP_fixed_L (Rep 9/10)
   ✓ Rounds: 33, Final: $130, Stopped

📊 Experiment 610/1280: GMWP_fixed_L (Rep 10/10)
   ✓ Rounds: 8, Final: $80, Stopped
    💾 Intermediate results saved (610 experiments)

📊 Experiment 611/1280: GRWP_fixed_L (Rep 1/10)
   ✓ Rounds: 4, Final: $60, Stopped

📊 Experiment 612/1280: GRWP_fixed_L (Rep 2/10)
   ✓ Rounds: 5, Final: $110, Stopped

📊 Experiment 613/1280: GRWP_fixed_L (Rep 3/10)
   ✓ Rounds: 12, Final: $10, Stopped

📊 Experiment 614/1280: GRWP_fixed_L (Rep 4/10)
   ✓ Rounds: 6, Final: $40, Stopped

📊 Experiment 615/1280: GRWP_fixed_L (Rep 5/10)
   ✓ Rounds: 2, Final: $80, StoppedRunning conditions:  48%|████▊     | 62/128 [2:11:29<3:14:42, 177.01s/it]Running conditions:  49%|████▉     | 63/128 [2:12:39<2:37:12, 145.11s/it]Running conditions:  50%|█████     | 64/128 [2:16:46<3:07:17, 175.59s/it]Running conditions:  51%|█████     | 65/128 [2:17:43<2:26:51, 139.87s/it]Running conditions:  52%|█████▏    | 66/128 [2:19:19<2:11:10, 126.94s/it]Running conditions:  52%|█████▏    | 67/128 [2:20:40<1:54:50, 112.96s/it]Running conditions:  53%|█████▎    | 68/128 [2:21:57<1:42:22, 102.37s/it]Running conditions:  54%|█████▍    | 69/128 [2:23:12<1:32:27, 94.03s/it] Running conditions:  55%|█████▍    | 70/128 [2:24:18<1:22:49, 85.69s/it]

📊 Experiment 616/1280: GRWP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 617/1280: GRWP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 618/1280: GRWP_fixed_L (Rep 8/10)
   ✓ Rounds: 8, Final: $110, Stopped

📊 Experiment 619/1280: GRWP_fixed_L (Rep 9/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 620/1280: GRWP_fixed_L (Rep 10/10)
   ✓ Rounds: 4, Final: $90, Stopped
    💾 Intermediate results saved (620 experiments)

📊 Experiment 621/1280: MRWP_fixed_L (Rep 1/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 622/1280: MRWP_fixed_L (Rep 2/10)
   ✓ Rounds: 2, Final: $110, Stopped

📊 Experiment 623/1280: MRWP_fixed_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 624/1280: MRWP_fixed_L (Rep 4/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 625/1280: MRWP_fixed_L (Rep 5/10)
   ✓ Rounds: 4, Final: $90, Stopped

📊 Experiment 626/1280: MRWP_fixed_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 627/1280: MRWP_fixed_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 628/1280: MRWP_fixed_L (Rep 8/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 629/1280: MRWP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 630/1280: MRWP_fixed_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (630 experiments)

📊 Experiment 631/1280: GMRWP_fixed_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 632/1280: GMRWP_fixed_L (Rep 2/10)
   ✓ Rounds: 7, Final: $60, Stopped

📊 Experiment 633/1280: GMRWP_fixed_L (Rep 3/10)
   ✓ Rounds: 19, Final: $210, Stopped

📊 Experiment 634/1280: GMRWP_fixed_L (Rep 4/10)
   ✓ Rounds: 19, Final: $0, Bankrupt

📊 Experiment 635/1280: GMRWP_fixed_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 636/1280: GMRWP_fixed_L (Rep 6/10)
   ✓ Rounds: 11, Final: $50, Stopped

📊 Experiment 637/1280: GMRWP_fixed_L (Rep 7/10)
   ✓ Rounds: 3, Final: $70, Stopped

📊 Experiment 638/1280: GMRWP_fixed_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 639/1280: GMRWP_fixed_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 640/1280: GMRWP_fixed_L (Rep 10/10)
   ✓ Rounds: 2, Final: $80, Stopped
    💾 Intermediate results saved (640 experiments)

📊 Experiment 641/1280: BASE_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 642/1280: BASE_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 643/1280: BASE_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $230, Stopped

📊 Experiment 644/1280: BASE_variable_W (Rep 4/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 645/1280: BASE_variable_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 646/1280: BASE_variable_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 647/1280: BASE_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 648/1280: BASE_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 649/1280: BASE_variable_W (Rep 9/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 650/1280: BASE_variable_W (Rep 10/10)
   ✓ Rounds: 2, Final: $330, Stopped
    💾 Intermediate results saved (650 experiments)

📊 Experiment 651/1280: G_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 652/1280: G_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 653/1280: G_variable_W (Rep 3/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 654/1280: G_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 655/1280: G_variable_W (Rep 5/10)
   ✓ Rounds: 11, Final: $330, Stopped

