[01:50:58] ================================================================================
[01:50:58] GPT-4O-MINI FIXED BET SIZE VARIATION EXPERIMENT
[01:50:58] Model: gpt-4o-mini
[01:50:58] Bet sizes: [30, 50, 70]
[13:49:28] Waiting 1s before retry...
[13:49:47] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:49:47] Waiting 2s before retry...
[13:50:07] API error (attempt 3/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:50:07] Waiting 4s before retry...
[13:50:35] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:50:35] Waiting 1s before retry...
[13:50:50] Exp 2870: R1 - Bet $50, L, Balance $50
[13:51:08] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:51:08] Waiting 1s before retry...
[13:51:15] Exp 2870: R2 - Bet $50, W, Balance $150
[13:51:52] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:51:52] Waiting 1s before retry...
[13:52:12] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:52:12] Waiting 2s before retry...
[13:52:28] Exp 2871: R1 - Bet $50, L, Balance $50
[13:52:46] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:52:46] Waiting 1s before retry...
[13:53:32] Exp 2873: R1 - Bet $30, L, Balance $70
[13:53:50] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:53:50] Waiting 1s before retry...
[13:54:36] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:54:36] Waiting 1s before retry...
[13:54:51] Exp 2876: R1 - Bet $30, W, Balance $160
[13:55:09] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:55:09] Waiting 1s before retry...
[13:56:17] Exp 2880: R1 - Bet $30, L, Balance $70
[13:56:35] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:56:35] Waiting 1s before retry...
[13:56:54] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:56:54] Waiting 2s before retry...
[13:58:06] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:58:06] Waiting 1s before retry...
[13:58:23] Exp 2883: R1 - Bet $30, L, Balance $70
[13:58:40] Exp 2883: R2 - Bet $30, W, Balance $130
[13:58:58] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:58:58] Waiting 1s before retry...
[13:59:17] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:59:17] Waiting 2s before retry...
[13:59:36] API error (attempt 3/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[13:59:36] Waiting 4s before retry...
[14:00:51] Exp 2885: R1 - Bet $50, L, Balance $50
[14:01:12] Exp 2886: R1 - Bet $30, L, Balance $70
[14:01:33] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:01:33] Waiting 1s before retry...
[14:02:15] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:02:15] Waiting 1s before retry...
[14:03:38] Exp 2892: R1 - Bet $50, L, Balance $50
[14:04:02] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:04:02] Waiting 1s before retry...
[14:04:21] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:04:21] Waiting 2s before retry...
[14:04:42] API error (attempt 3/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:04:42] Waiting 4s before retry...
[14:05:03] Exp 2894: R1 - Bet $50, L, Balance $50
[14:05:09] Exp 2894: R2 - Bet $50, L, Balance $0
[14:05:27] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:05:27] Waiting 1s before retry...
[14:05:41] Exp 2896: R1 - Bet $50, L, Balance $50
[14:06:23] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:06:23] Waiting 1s before retry...
[14:06:42] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:06:42] Waiting 2s before retry...
[14:06:59] Exp 2897: R1 - Bet $50, L, Balance $50
[14:07:45] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:07:45] Waiting 1s before retry...
[14:07:52] Exp 2899: R1 - Bet $70, W, Balance $240
[14:08:09] Exp 2899: R2 - Bet $70, W, Balance $380
[14:08:27] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:08:27] Waiting 1s before retry...
[14:08:53] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:08:53] Waiting 1s before retry...
[14:09:13] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:09:13] Waiting 2s before retry...
[14:09:22] Exp 2900: R1 - Bet $50, L, Balance $50
[14:09:40] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:09:40] Waiting 1s before retry...
[14:10:04] Exp 2900: R2 - Bet $50, L, Balance $0
[14:10:04] 💾 Intermediate results saved: 2900 experiments
[14:10:25] Exp 2902: R1 - Bet $50, W, Balance $200
[14:10:43] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:10:43] Waiting 1s before retry...
[14:10:50] Exp 2902: R2 - Bet $50, L, Balance $150
[14:11:15] Exp 2903: R1 - Bet $50, L, Balance $50
[14:12:12] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:12:12] Waiting 1s before retry...
[14:12:37] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:12:37] Waiting 1s before retry...
[14:12:56] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:12:56] Waiting 2s before retry...
[14:13:02] Exp 2906: R1 - Bet $50, L, Balance $50
[14:14:08] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:14:08] Waiting 1s before retry...
[14:14:53] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:14:53] Waiting 1s before retry...
[14:15:16] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:15:16] Waiting 1s before retry...
[14:15:24] Exp 2910: R1 - Bet $50, W, Balance $200
[14:15:38] Exp 2910: R2 - Bet $50, L, Balance $150
[14:16:41] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:16:41] Waiting 1s before retry...
[14:16:58] Exp 2912: R1 - Bet $30, L, Balance $70
[14:17:03] Exp 2912: R2 - Bet $30, W, Balance $130
[14:17:21] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:17:21] Waiting 1s before retry...
[14:17:40] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:17:40] Waiting 2s before retry...
[14:18:23] API error (attempt 3/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:18:23] Waiting 4s before retry...
[14:18:45] API error (attempt 4/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:18:45] Waiting 8s before retry...
[14:19:11] API error (attempt 5/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:19:11] Waiting 16s before retry...
[14:19:33] Exp 2912: R3 - Bet $30, L, Balance $100
[14:19:57] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:19:57] Waiting 1s before retry...
[14:20:35] Exp 2915: R1 - Bet $50, L, Balance $50
[14:30:51] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:30:51] Waiting 1s before retry...
[14:31:52] Exp 2919: R1 - Bet $50, L, Balance $50
[14:32:10] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:32:10] Waiting 1s before retry...
[14:32:47] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:32:47] Waiting 1s before retry...
[14:33:29] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:33:29] Waiting 1s before retry...
[14:33:48] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:33:48] Waiting 2s before retry...
[14:34:19] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:34:19] Waiting 1s before retry...
[14:34:43] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:34:43] Waiting 1s before retry...
[14:35:02] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:35:02] Waiting 2s before retry...
[14:35:25] Exp 2925: R1 - Bet $50, L, Balance $50
[14:35:43] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:35:43] Waiting 1s before retry...
[14:36:06] Exp 2926: R1 - Bet $70, W, Balance $240
[14:36:31] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:36:31] Waiting 1s before retry...
[14:36:53] Exp 2928: R1 - Bet $30, W, Balance $160
[14:37:35] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:37:35] Waiting 1s before retry...
[14:38:02] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:38:02] Waiting 1s before retry...
[14:38:44] Exp 2933: R1 - Bet $50, L, Balance $50
[14:39:05] Exp 2934: R1 - Bet $70, L, Balance $30
[14:39:30] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:39:30] Waiting 1s before retry...
[14:39:49] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:39:49] Waiting 2s before retry...
[14:40:54] Exp 2937: R1 - Bet $30, L, Balance $70
[14:41:00] Exp 2937: R2 - Bet $30, L, Balance $40
[14:41:18] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:41:18] Waiting 1s before retry...
[14:41:45] Exp 2938: R1 - Bet $30, W, Balance $160
[14:42:03] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:42:03] Waiting 1s before retry...
[14:42:22] API error (attempt 2/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:42:22] Waiting 2s before retry...
[14:42:29] Exp 2938: R2 - Bet $30, W, Balance $220
[14:42:44] Exp 2938: R3 - Bet $30, L, Balance $190
[14:42:56] Exp 2938: R4 - Bet $30, L, Balance $160
[14:43:28] Exp 2939: R1 - Bet $50, L, Balance $50
[14:43:46] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
[14:43:46] Waiting 1s before retry...
[14:44:20] API error (attempt 1/10): Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-XPZGRhUj2yIB7hQPs2wFpW9K on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}
